story,V_ABSSUM_kN,V_SRSS_kN,V_CQC_kN
1.000000000000000000e+00,2.473894576868869137e+02,1.833929107637035827e+02,1.843513974889335998e+02
2.000000000000000000e+00,1.566465445703789499e+02,1.307226105692445799e+02,1.305447378075645588e+02
3.000000000000000000e+00,1.501107093175730540e+02,1.032768620381913678e+02,1.025334452069108409e+02
