floor,u_ABSSUM_m,u_SRSS_m,u_CQC_m
1.000000000000000000e+00,3.865460276357608749e-02,2.865514230682868549e-02,2.880490585764587316e-02
2.000000000000000000e+00,5.685786397781227713e-02,4.735880467297327173e-02,4.746135228992942601e-02
3.000000000000000000e+00,8.289937097771066243e-02,7.180116567251119963e-02,7.165340128949347631e-02
