time_s,u1_m,u2_m,u3_m,drift1_m,drift2_m,drift3_m,V1_kN,V2_kN,V3_kN,Vbase_kN,Mb_kNm
3.099999999999999978e-01,-4.533666447830090175e-04,-7.837678500137025377e-04,-1.178596349570851286e-03,-4.533666447830090175e-04,-3.304012052306935202e-04,-3.948284995571487484e-04,-2.901546526611257892e+00,-2.114567713476438460e+00,-1.263451198582876023e+00,-2.901546526611257892e+00,-1.883869631601171690e+01
3.200000000000000067e-01,-4.608476014571373644e-04,-7.992268448515551377e-04,-1.204677641431404003e-03,-4.608476014571373644e-04,-3.383792433944177733e-04,-4.054507965798488656e-04,-2.949424649325679049e+00,-2.165627157724273832e+00,-1.297442549055516370e+00,-2.949424649325679049e+00,-1.923748306831640775e+01
3.300000000000000155e-01,-4.728234626447933345e-04,-8.173179567059448477e-04,-1.230454257517548050e-03,-4.728234626447933345e-04,-3.444944940611515132e-04,-4.131363008116032028e-04,-3.026070160926677133e+00,-2.204764761991369504e+00,-1.322036162597130193e+00,-3.026070160926677133e+00,-1.965861325654552871e+01
3.400000000000000244e-01,-4.909210837368983404e-04,-8.398632702226417265e-04,-1.257719265913646595e-03,-4.909210837368983404e-04,-3.489421864857433862e-04,-4.178559956910048688e-04,-3.141894935916149212e+00,-2.233229993508757616e+00,-1.337139186211215636e+00,-3.141894935916149212e+00,-2.013679234690836850e+01
3.499999999999999778e-01,-5.154852793208216689e-04,-8.676464217207585953e-04,-1.287289383250094475e-03,-5.154852793208216689e-04,-3.521611423999369264e-04,-4.196429615293358799e-04,-3.299105787653258570e+00,-2.253831311359596246e+00,-1.342857476893874802e+00,-3.299105787653258570e+00,-2.068738372772018863e+01
3.599999999999999867e-01,-5.450595824455139928e-04,-8.998450349505550654e-04,-1.318455833432405399e-03,-5.450595824455139928e-04,-3.547854525050410726e-04,-4.186107984818503332e-04,-3.488381327651289610e+00,-2.270626896032262643e+00,-1.339554555141921011e+00,-3.488381327651289610e+00,-2.129568833647642023e+01
3.699999999999999956e-01,-5.771334761394380630e-04,-9.346742262457278030e-04,-1.349648980029495007e-03,-5.771334761394380630e-04,-3.575407501062897401e-04,-4.149747537837672039e-04,-3.693654247292403436e+00,-2.288260800680254281e+00,-1.327919212108054969e+00,-3.693654247292403436e+00,-2.192950278024213873e+01
3.800000000000000044e-01,-6.092933874255906414e-04,-9.704137223069065005e-04,-1.379483810033666586e-03,-6.092933874255906414e-04,-3.611203348813158591e-04,-4.090700877267600859e-04,-3.899477679523779994e+00,-2.311170143240421471e+00,-1.309024280725632261e+00,-3.899477679523779994e+00,-2.255901631046950229e+01
3.900000000000000133e-01,-6.398312033067775481e-04,-1.005909741671131771e-03,-1.407271903331285511e-03,-6.398312033067775481e-04,-3.660785383643542232e-04,-4.013621616601537392e-04,-4.094919701163376224e+00,-2.342902645531867112e+00,-1.284358917312491855e+00,-4.094919701163376224e+00,-2.316654379202320513e+01
4.000000000000000222e-01,-6.679167973096008896e-04,-1.040679648674346525e-03,-1.433123832366897318e-03,-6.679167973096008896e-04,-3.727628513647456357e-04,-3.924441836925507930e-04,-4.274667502781445805e+00,-2.385682248734371846e+00,-1.255821387816162593e+00,-4.274667502781445805e+00,-2.374851341799593740e+01
4.099999999999999756e-01,-6.933157421454971955e-04,-1.074604370924692274e-03,-1.457625141273504550e-03,-6.933157421454971955e-04,-3.812886287791950784e-04,-3.830207703488122759e-04,-4.437220749731181968e+00,-2.440247224186848474e+00,-1.225666465116199255e+00,-4.437220749731181968e+00,-2.430940331710268865e+01
4.199999999999999845e-01,-7.153646095243885528e-04,-1.106903491840345588e-03,-1.480781059718088788e-03,-7.153646095243885528e-04,-3.915388823159570353e-04,-3.738775678777432002e-04,-4.578333500956087043e+00,-2.505848846822125164e+00,-1.196408217208778213e+00,-4.578333500956087043e+00,-2.484177169496097193e+01
4.299999999999999933e-01,-7.323018792104699255e-04,-1.135464227900019043e-03,-1.501302603748532871e-03,-7.323018792104699255e-04,-4.031623486895491177e-04,-3.658383758485138273e-04,-4.686732026947007412e+00,-2.580239031613114520e+00,-1.170682802715244275e+00,-4.686732026947007412e+00,-2.531296158382610173e+01
4.400000000000000022e-01,-7.424241444707438452e-04,-1.157995879926893706e-03,-1.517707630647032943e-03,-7.424241444707438452e-04,-4.155717354561498612e-04,-3.597117507201392367e-04,-4.751514524612760582e+00,-2.659659106919359139e+00,-1.151077602304445557e+00,-4.751514524612760582e+00,-2.568675370150969428e+01
4.500000000000000111e-01,-7.458635124272998494e-04,-1.173844524290504950e-03,-1.530074686432999825e-03,-7.458635124272998494e-04,-4.279810118632051009e-04,-3.562301621424948748e-04,-4.773526479534718980e+00,-2.739078475924512812e+00,-1.139936518855983572e+00,-4.773526479534718980e+00,-2.595762442294564565e+01
4.600000000000000200e-01,-7.442714781352123207e-04,-1.183773917782131486e-03,-1.539760824166400751e-03,-7.442714781352123207e-04,-4.395024396469191658e-04,-3.559869063842692645e-04,-4.763337460065359075e+00,-2.812815613740282661e+00,-1.139158100429661591e+00,-4.763337460065359075e+00,-2.614593352270590998e+01
4.699999999999999734e-01,-7.388031469779102103e-04,-1.188068766310300395e-03,-1.547446492754436277e-03,-7.388031469779102103e-04,-4.492656193323901846e-04,-3.593777264441358824e-04,-4.728340140658625401e+00,-2.875299963727297126e+00,-1.150008724621234713e+00,-4.728340140658625401e+00,-2.626094648702147083e+01
4.799999999999999822e-01,-7.295199267502809875e-04,-1.186028317542422907e-03,-1.552582202263289501e-03,-7.295199267502809875e-04,-4.565083907921419198e-04,-3.665538847208665938e-04,-4.668927531201798153e+00,-2.921653701069708120e+00,-1.172972431106773072e+00,-4.668927531201798153e+00,-2.629066099013483893e+01
4.899999999999999911e-01,-7.167320664054438418e-04,-1.177369173057324706e-03,-1.554760919969414750e-03,-7.167320664054438418e-04,-4.606371066518808637e-04,-3.773917469120900443e-04,-4.587085224994840615e+00,-2.948077482572037500e+00,-1.207653590118688225e+00,-4.587085224994840615e+00,-2.622844889305670080e+01
5.000000000000000000e-01,-7.016438145197034792e-04,-1.162924189936132436e-03,-1.554406489865918809e-03,-7.016438145197034792e-04,-4.612803754164289567e-04,-3.914822999297863735e-04,-4.490520412926102267e+00,-2.952194402665145212e+00,-1.252743359775316367e+00,-4.490520412926102267e+00,-2.608637452609969287e+01
5.100000000000000089e-01,-6.853874763113581691e-04,-1.143720216517395355e-03,-1.551862930835519764e-03,-6.853874763113581691e-04,-4.583327402060371862e-04,-4.081427143181244090e-04,-4.386479848392692560e+00,-2.933329537318638103e+00,-1.306056685817998053e+00,-4.386479848392692560e+00,-2.587759821458798370e+01
5.200000000000000178e-01,-6.683590280467117516e-04,-1.120322604506669316e-03,-1.546772849805954850e-03,-6.683590280467117516e-04,-4.519635764599575639e-04,-4.264502452992855342e-04,-4.277497779498955488e+00,-2.892566889343728409e+00,-1.364640784957713793e+00,-4.277497779498955488e+00,-2.560411636140119640e+01
5.300000000000000266e-01,-6.507150625376515504e-04,-1.093301714798871000e-03,-1.538598081892594231e-03,-6.507150625376515504e-04,-4.425866522612194494e-04,-4.452963670937232308e-04,-4.164576400240969534e+00,-2.832554574471804365e+00,-1.424948374699914311e+00,-4.164576400240969534e+00,-2.526623804823806552e+01
5.400000000000000355e-01,-6.327821452883098394e-04,-1.063588772233874796e-03,-1.527045666815566834e-03,-6.327821452883098394e-04,-4.308066269455649569e-04,-4.634568945816920377e-04,-4.049805729845182611e+00,-2.757162412451615641e+00,-1.483062062661414604e+00,-4.049805729845182611e+00,-2.487009061487463768e+01
5.500000000000000444e-01,-6.147597248332144866e-04,-1.032111816756193980e-03,-1.511784242190031659e-03,-6.147597248332144866e-04,-4.173520919229794937e-04,-4.796724254338376788e-04,-3.934462238932572742e+00,-2.671053388307068843e+00,-1.534951761388280600e+00,-3.934462238932572742e+00,-2.442140216588376589e+01
5.600000000000000533e-01,-5.963556345831402860e-04,-9.993492155108832983e-04,-1.492081718136588310e-03,-5.963556345831402860e-04,-4.029935809277430123e-04,-4.927325026257050114e-04,-3.816676061332097802e+00,-2.579158917937555362e+00,-1.576744008402255925e+00,-3.816676061332097802e+00,-2.391773696301572727e+01
5.699999999999999512e-01,-5.765351859238803311e-04,-9.649802040757915781e-04,-1.466536431886805237e-03,-5.765351859238803311e-04,-3.884450181519112470e-04,-5.015562278110136584e-04,-3.689825189912834258e+00,-2.486048116172232092e+00,-1.604979928995243776e+00,-3.689825189912834258e+00,-2.334255970524093016e+01
5.799999999999999600e-01,-5.532982676003865390e-04,-9.275484299931670935e-04,-1.432810125274074607e-03,-5.532982676003865390e-04,-3.742501623927805545e-04,-5.052616952809075137e-04,-3.541108912642473960e+00,-2.395201039313795466e+00,-1.616837424898904141e+00,-3.541108912642473960e+00,-2.265944213056552314e+01
5.899999999999999689e-01,-5.241894643501611786e-04,-8.848562027106502944e-04,-1.388073039255979194e-03,-5.241894643501611786e-04,-3.606667383604891157e-04,-5.032168365453288999e-04,-3.354812571841031321e+00,-2.308267125507130313e+00,-1.610293876945052549e+00,-3.354812571841031321e+00,-2.182012072287964344e+01
5.999999999999999778e-01,-4.876232747588989721e-04,-8.352057424767735279e-04,-1.330271414780033945e-03,-4.876232747588989721e-04,-3.475824677178745558e-04,-4.950656723032604168e-04,-3.120788958456953477e+00,-2.224527793394396991e+00,-1.584210151370433417e+00,-3.120788958456953477e+00,-2.078858070966535365e+01
6.099999999999999867e-01,-4.435343901374170952e-04,-7.780330088193123826e-04,-1.258759995478550857e-03,-4.435343901374170952e-04,-3.344986186818952874e-04,-4.807269866592384739e-04,-2.838620096879469479e+00,-2.140791159564130020e+00,-1.538326357309563130e+00,-2.838620096879469479e+00,-1.955321284125948722e+01
6.199999999999999956e-01,-3.926661570238443506e-04,-7.132496711834856356e-04,-1.173616080759660833e-03,-3.926661570238443506e-04,-3.205835141596412850e-04,-4.603664095761751977e-04,-2.513063404952603719e+00,-2.051734490621704321e+00,-1.473172510643760535e+00,-2.513063404952603719e+00,-1.811391121865420573e+01
6.300000000000000044e-01,-3.358657025939068520e-04,-6.406360364795774800e-04,-1.074982477313522625e-03,-3.358657025939068520e-04,-3.047703338856706280e-04,-4.343464408339451450e-04,-2.149540496601003881e+00,-1.950530136868291908e+00,-1.389908610668624478e+00,-2.149540496601003881e+00,-1.646993773241376147e+01
6.400000000000000133e-01,-2.742587230116688615e-04,-5.601381829062727653e-04,-9.632995342959010682e-04,-2.742587230116688615e-04,-2.858794598946039038e-04,-4.031613513896283030e-04,-1.755255827274680769e+00,-1.829628543325465095e+00,-1.290116324446810570e+00,-1.755255827274680769e+00,-1.462500208514086886e+01
6.500000000000000222e-01,-2.094086008461187474e-04,-4.721662243478195564e-04,-8.395315571797773825e-04,-2.094086008461187474e-04,-2.627576235017008090e-04,-3.673653328319578261e-04,-1.340215045415160011e+00,-1.681648790410885219e+00,-1.175569065062264995e+00,-1.340215045415160011e+00,-1.259229870266493023e+01
