time_s,D1_m,D2_m,D3_m
4.199999999999999845e-01,-1.190934224895261965e-03,-2.977880974102127109e-04,-1.294325583670109022e-04
4.299999999999999933e-01,-1.213084270265816361e-03,-3.198394155437814983e-04,-1.139908292887342387e-04
4.400000000000000022e-01,-1.229914639388178174e-03,-3.331742928488086171e-04,-9.146785898837528600e-05
4.500000000000000111e-01,-1.241292789794927335e-03,-3.374062390303951423e-04,-6.433320939873411976e-05
4.600000000000000200e-01,-1.248462463319992494e-03,-3.338150995016205946e-04,-3.669510763391529664e-05
4.699999999999999734e-01,-1.252092444472113200e-03,-3.233617363645283635e-04,-1.197180335781829533e-05
4.799999999999999822e-01,-1.251727436971532314e-03,-3.061161279781912984e-04,7.946474445494642263e-06
4.899999999999999911e-01,-1.247162877860168682e-03,-2.826161141893431678e-04,2.151405494895188380e-05
5.000000000000000000e-01,-1.239126616598277327e-03,-2.545117820415528976e-04,2.701348079817191277e-05
5.100000000000000089e-01,-1.228351997707809303e-03,-2.235805213069642547e-04,2.361041898471910087e-05
5.200000000000000178e-01,-1.214936103550947992e-03,-1.910299056618052383e-04,1.201147073945194285e-05
5.300000000000000266e-01,-1.198838441574590075e-03,-1.579509780840151372e-04,-6.143469883558181840e-06
5.400000000000000355e-01,-1.180281716961007529e-03,-1.256737663866648786e-04,-2.886553913521316028e-05
5.500000000000000444e-01,-1.159440595228571590e-03,-9.540950536923535879e-05,-5.373306250814948321e-05
5.600000000000000533e-01,-1.136053209501451493e-03,-6.782494487727212047e-05,-7.777694869969379069e-05
5.699999999999999512e-01,-1.109131849864853801e-03,-4.273669003663795572e-05,-9.751406355396840489e-05
5.799999999999999600e-01,-1.076684899611332537e-03,-1.884666949866271816e-05,-1.090335281301656152e-04
5.899999999999999689e-01,-1.036161359332604540e-03,5.771922878846781315e-06,-1.088066715110201578e-04
5.999999999999999778e-01,-9.857235992322211163e-04,3.235723752153334110e-05,-9.522124047063819559e-05
6.099999999999999867e-01,-9.248843494428880948e-04,6.080410512583403200e-05,-6.926755717845110871e-05
6.199999999999999956e-01,-8.538233892428687046e-04,9.036034916205820276e-05,-3.368504391671193527e-05
6.300000000000000044e-01,-7.727347545731096893e-04,1.203047944122296350e-04,8.001261910628994862e-06
6.400000000000000133e-01,-6.820654773957001565e-04,1.497365089436283479e-04,5.163144877819567704e-05
6.500000000000000222e-01,-5.827484545009724596e-04,1.773767792390376933e-04,9.262013428242727722e-05
6.600000000000000311e-01,-4.760046360872928961e-04,2.018086739278648651e-04,1.266078574602750543e-04
6.700000000000000400e-01,-3.634355150099966773e-04,2.214302331969257717e-04,1.497841424429726201e-04
6.800000000000000488e-01,-2.472022453138507446e-04,2.343264535541375853e-04,1.590562777360956810e-04
6.899999999999999467e-01,-1.293846340542951449e-04,2.389594231764661592e-04,1.529224592391805078e-04
6.999999999999999556e-01,-1.124257426604846995e-05,2.349333831802263134e-04,1.322510307055285109e-04
7.099999999999999645e-01,1.061788920468642177e-04,2.223882315995300398e-04,9.951401583032082863e-05
7.199999999999999734e-01,2.210490411976160285e-04,2.009906997934747530e-04,5.750975622738105055e-05
7.299999999999999822e-01,3.314399442275612609e-04,1.706156609447177037e-04,9.714261122523023894e-06
7.399999999999999911e-01,4.369251804819466707e-04,1.329101367268033815e-04,-3.856967396607443303e-05
7.500000000000000000e-01,5.384190833222807660e-04,9.104853333430377646e-05,-8.095797505069650553e-05
7.600000000000000089e-01,6.363425078443677146e-04,4.779186069197087044e-05,-1.124068821031959961e-04
7.700000000000000178e-01,7.298305703430345162e-04,4.609136657826140815e-06,-1.304201034580424411e-04
7.800000000000000266e-01,8.176076700364186354e-04,-3.750620995399057722e-05,-1.343679747521920307e-04
7.900000000000000355e-01,8.984952768480175154e-04,-7.757585981919945636e-05,-1.249979697064722750e-04
8.000000000000000444e-01,9.709195277089053200e-04,-1.151666647166614354e-04,-1.047847010073352063e-04
8.100000000000000533e-01,1.033044369319631624e-03,-1.502796729296612015e-04,-7.750031333478704448e-05
