mode,lambda_omega_squared,omega_rad_s,period_s,L_n,M_n,Gamma_n,M_star,mass_participation_percent,h_star_m
1.000000000000000000e+00,7.350562526936944607e+01,8.573542165836093076e+00,7.328575734096071104e-01,3.223653050956122001e+01,2.418569407279455064e+01,1.332875972570194190e+00,4.296729695522015646e+01,8.593459391044031292e+01,6.706816623280868583e+00
2.000000000000000000e+00,3.817054120620390449e+02,1.953728261714097769e+01,3.215997552119685410e-01,-1.639448137202327871e+01,4.346509817642062501e+01,-3.771872619608419019e-01,6.183789539981487948e+00,1.236757907996297412e+01,-3.233143157635401388e-01
3.000000000000000000e+00,1.038122296001924497e+03,3.221990527611657029e+01,1.950094282815002522e-01,1.915795086246205869e+01,4.323492077507843874e+02,4.431128939064721273e-02,8.489135047983555893e-01,1.697827009596710957e+00,-1.383502307517322949e+00
