mode,lambda_omega_squared,omega_rad_s,period_s
1.000000000000000000e+00,7.350562526936943186e+01,8.573542165836093076e+00,7.328575734096071104e-01
2.000000000000000000e+00,3.817054120620391586e+02,1.953728261714098124e+01,3.215997552119684855e-01
3.000000000000000000e+00,1.038122296001925179e+03,3.221990527611658450e+01,1.950094282815001689e-01
