mode,T_s,Sa_g,Sa_m_per_s2,Sd_m,Mb_modal_kNm,Vb_from_D_kN,Mb_from_D_kNm
1.000000000000000000e+00,7.328575730536805999e-01,3.983056891472858685e-01,3.906044486476230482e+00,5.313939536420524135e-02,1.125619605966424842e+03,1.679438540671469582e+02,1.126368632056699653e+03
2.000000000000000000e+00,3.215997551649066866e-01,1.215241897917761937e+00,1.191745195821521897e+01,3.122159544541731890e-02,-2.382665303382509592e+01,7.353368030037695746e+01,-2.377449092127067942e+01
3.000000000000000000e+00,1.950094282579959981e-01,7.041767782704945189e-01,6.905615202626344207e+00,6.652024744634606884e-03,-8.110464180923976585e+00,5.651265897280112860e+00,-7.818539327436959674e+00
