mode,T_s,Sd_m,Sa_pseudo_g
1.000000000000000000e+00,7.328580000000000094e-01,5.314034091184616226e-02,3.983056245726142031e-01
2.000000000000000000e+00,3.215999999999999970e-01,3.121090401305239015e-02,1.215240233389096369e+00
3.000000000000000000e+00,1.950089999999999879e-01,6.669059635655828940e-03,7.041745304233483216e-01
