T_s,Sd_m,Sa_pseudo_m_per_s2,Sa_pseudo_g,Sa_actual_m_per_s2,Sa_actual_g
5.400000000000001465e-01,3.825138585818406434e-02,5.178683761504807137e+00,5.280787793491974469e-01,5.200686730307300110e+00,5.303224577513524496e-01
5.500000000000001554e-01,4.114097366623777757e-02,5.369191864613574339e+00,5.475051994935655753e-01,5.386932614625997928e+00,5.493142525353712502e-01
5.600000000000001643e-01,4.285677912669951656e-02,5.395146120987089233e+00,5.501517970955513981e-01,5.412833981673071726e+00,5.519554569269905508e-01
5.700000000000001732e-01,4.371471719517165677e-02,5.311750879924192148e+00,5.416478491558475161e-01,5.333558470398099161e+00,5.438716045130701504e-01
5.800000000000001821e-01,4.435427937312440977e-02,5.205222246232286132e+00,5.307849516636452547e-01,5.227091649788773609e+00,5.330150102011159685e-01
5.900000000000001910e-01,4.483825576753878300e-02,5.085157672628219494e+00,5.185417724328104105e-01,5.106573047872608129e+00,5.207255329671812705e-01
6.000000000000001998e-01,4.533755741363126868e-02,4.971819513157959669e+00,5.069844965567201767e-01,4.992340322769388550e+00,5.090770367831408683e-01
6.100000000000000977e-01,4.542917538721792658e-02,4.819865512921754913e+00,4.914895007899491852e-01,4.841797357166535143e+00,4.937259265056400670e-01
6.200000000000001066e-01,4.564956025092591768e-02,4.688273681168908524e+00,4.780708683565650929e-01,4.709231384099668460e+00,4.802079593030921800e-01
6.300000000000001155e-01,4.763273298752041668e-02,4.737880888178842120e+00,4.831293956834232239e-01,4.758981077416187588e+00,4.852810161896455865e-01
6.400000000000001243e-01,5.216445899453697049e-02,5.027759512430931110e+00,5.126887889779824237e-01,5.050240167346580655e+00,5.149811778075673585e-01
6.500000000000001332e-01,5.772483509813608471e-02,5.393810996797361312e+00,5.500156523172909928e-01,5.418619197443963920e+00,5.525453847587059597e-01
6.600000000000001421e-01,6.264067073516697837e-02,5.677122493801590508e+00,5.789053849991170342e-01,5.704040093264800326e+00,5.816502162578250923e-01
6.700000000000001510e-01,6.599647275744734143e-02,5.804046139302971419e+00,5.918479949119190842e-01,5.832955970355084396e+00,5.947959772557483982e-01
6.800000000000001599e-01,6.740940164430156423e-02,5.755226013351197878e+00,5.868697275166543381e-01,5.785872717836340939e+00,5.899948216604387063e-01
6.900000000000001688e-01,6.662475735639108998e-02,5.524553651973516999e+00,5.633476928383818194e-01,5.556173164708232193e+00,5.665719858165869649e-01
7.000000000000001776e-01,6.380277872381331927e-02,5.140474985259412932e+00,5.241825684876499913e-01,5.166217710236010952e+00,5.268075958901369260e-01
7.100000000000001865e-01,5.939615207788449813e-02,4.651589160528954103e+00,4.743300883103765964e-01,4.674530924256982800e+00,4.766694971531545422e-01
7.200000000000001954e-01,5.468919069189755178e-02,4.164820039697275433e+00,4.246934518614690623e-01,4.188313508871457813e+00,4.270891190030701723e-01
7.300000000000002043e-01,5.278301164792804229e-02,3.910282935358537326e+00,3.987378906516024779e-01,3.924759035698652809e+00,4.002140420733535930e-01
7.400000000000002132e-01,5.403328898843938466e-02,3.895450597557590822e+00,3.972254131184034254e-01,3.910302906783535093e+00,3.987399271701891346e-01
7.500000000000002220e-01,5.527191971394300463e-02,3.879196316909434561e+00,3.955679377676816211e-01,3.895741161987555490e+00,3.972550424444183936e-01
7.600000000000002309e-01,5.725661456799027021e-02,3.913435838862280747e+00,3.990593973336746814e-01,3.929861420657612125e+00,4.007343405401041503e-01
7.700000000000002398e-01,6.035073913148978481e-02,4.018471381623523797e+00,4.097700419229323154e-01,4.037728955130046593e+00,4.117337679156538588e-01
7.800000000000001377e-01,6.476920867211891086e-02,4.202803859075737059e+00,4.285667235065733216e-01,4.221358128380702901e+00,4.304587324295965911e-01
7.900000000000001465e-01,6.996297438552441517e-02,4.425616919779994163e+00,4.512873325529099811e-01,4.444771956645987565e+00,4.532406027181543062e-01
8.000000000000001554e-01,7.526613041883965793e-02,4.642793325217157374e+00,4.734331627229642625e-01,4.664282832373619847e+00,4.756244826085992972e-01
8.100000000000001643e-01,7.986645040024765996e-02,4.805671515742532485e+00,4.900421158848875525e-01,4.831162973834500995e+00,4.926415211957703710e-01
8.200000000000001732e-01,8.308892430651425298e-02,4.878374854356652079e+00,4.974557931971317903e-01,4.903340793313314627e+00,5.000016104697644348e-01
8.300000000000001821e-01,8.446204424712404346e-02,4.840220430404524876e+00,4.935651247270500530e-01,4.866801275120565151e+00,4.962756165582095091e-01
8.400000000000001910e-01,8.372015623868782341e-02,4.684154322410667426e+00,4.776508106652799790e-01,4.707027348695900670e+00,4.799832102395722444e-01
8.500000000000001998e-01,8.277267558440684625e-02,4.522815575018979573e+00,4.611988370155944983e-01,4.539051721974684206e+00,4.628544632442969098e-01
8.600000000000002087e-01,8.586968809697272109e-02,4.583557877566533101e+00,4.673928280877295838e-01,4.600727813613508133e+00,4.691436743040190427e-01
8.700000000000002176e-01,8.906088451841862041e-02,4.645240839254300091e+00,4.736827396974808146e-01,4.659620609774245636e+00,4.751490682112898822e-01
8.800000000000002265e-01,9.360330077271870886e-02,4.771836514787783479e+00,4.865919059809194480e-01,4.787187971515308504e+00,4.881573189127080825e-01
8.900000000000002354e-01,9.828746047154564291e-02,4.898666089846548388e+00,4.995249233781718368e-01,4.912499059264641588e+00,5.009354936970975558e-01
9.000000000000002442e-01,1.029912617382609946e-01,5.019669185805857303e+00,5.118638052551949258e-01,5.037180280248088060e+00,5.136494399461679627e-01
9.100000000000002531e-01,1.077637630120764911e-01,5.137474747986668255e+00,5.238766294286701930e-01,5.153664686115560833e+00,5.255275436683842782e-01
9.200000000000002620e-01,1.124082279964683101e-01,5.243028080116252099e+00,5.346400738393082275e-01,5.263442817861775147e+00,5.367217977455884803e-01
9.300000000000001599e-01,1.169362014660619981e-01,5.337560636541181402e+00,5.442797118833834213e-01,5.359494134697898815e+00,5.465163062511559922e-01
9.400000000000001688e-01,1.212720532996912348e-01,5.418321371551720667e+00,5.525150149696095303e-01,5.440527528856899053e+00,5.547794128328124019e-01
9.500000000000001776e-01,1.253180299843737466e-01,5.481836588452622117e+00,5.589917646140754037e-01,5.505307525225517473e+00,5.613851340901855336e-01
9.600000000000001865e-01,1.290303830642755278e-01,5.527251894815186972e+00,5.636228370356021200e-01,5.552789961980836075e+00,5.662269951492953091e-01
9.700000000000001954e-01,1.335717212396275444e-01,5.604421501998971600e+00,5.714919469950464626e-01,5.628977176288694650e+00,5.739959289144299648e-01
9.800000000000002043e-01,1.408554795754698719e-01,5.790036906020862517e+00,5.904194506810035437e-01,5.817693295214017013e+00,5.932396175262721894e-01
9.900000000000002132e-01,1.450667554384496016e-01,5.843287370378839718e+00,5.958494868664467869e-01,5.873354314613875360e+00,5.989154619175636185e-01
1.000000000000000222e+00,1.461095215015211224e-01,5.768172705809889500e+00,5.881899227371110150e-01,5.796521491015820260e+00,5.910806943263826607e-01
1.010000000000000231e+00,1.445749769406981522e-01,5.595129217532815780e+00,5.705443976824722263e-01,5.621944152103237613e+00,5.732787600356124003e-01
1.020000000000000240e+00,1.431562544551145122e-01,5.432124563681912655e+00,5.539225488502100836e-01,5.463751844398747615e+00,5.571476339421461699e-01
1.030000000000000249e+00,1.441354147927063067e-01,5.363595152006537248e+00,5.469344936350881703e-01,5.397207520939096170e+00,5.503620013908008257e-01
1.040000000000000258e+00,1.447492170976620307e-01,5.283348780034479830e+00,5.387516409818317031e-01,5.318073571649740927e+00,5.422925842820679465e-01
1.050000000000000266e+00,1.451452571438907879e-01,5.197374217522323647e+00,5.299846754520987080e-01,5.228301325416087941e+00,5.331383627860776242e-01
