T_s,Sd_m,Sa_pseudo_m_per_s2,Sa_pseudo_g,Sa_actual_m_per_s2,Sa_actual_g
1.930000000000000382e+00,4.216335015471006087e-01,4.468690018541146003e+00,4.556795662679045678e-01,4.494068423873114781e+00,4.582674434055579726e-01
1.940000000000000391e+00,4.241726542032002722e-01,4.449374316872842350e+00,4.537099128522831815e-01,4.475045361463425131e+00,4.563276308895928279e-01
1.950000000000000400e+00,4.255640172799324272e-01,4.418302167407007097e+00,4.505414353940445649e-01,4.443831531757979292e+00,4.531447060676153105e-01
1.960000000000000409e+00,4.258247538706010360e-01,4.376011937623984771e+00,4.462290320980136227e-01,4.401667099651106696e+00,4.488451305645768108e-01
1.970000000000000417e+00,4.248170046290962731e-01,4.321446858764641519e+00,4.406649425404844389e-01,4.347189769904074907e+00,4.432899889262974513e-01
1.980000000000000426e+00,4.227550469504173236e-01,4.257142201779997137e+00,4.341076924107618029e-01,4.282341791097033834e+00,4.366773353894585763e-01
1.990000000000000435e+00,4.194756584233438335e-01,4.181771980025644098e+00,4.264220687008962729e-01,4.206936003691064130e+00,4.289880849924351813e-01
2.000000000000000444e+00,4.151243350883596639e-01,4.097112964587365624e+00,4.177892516391801259e-01,4.121444506840975741e+00,4.202703784514564833e-01
2.010000000000000231e+00,4.098268449891335208e-01,4.004681896972170918e+00,4.083639058161728230e-01,4.028356191555271693e+00,4.107780120178931571e-01
2.020000000000000462e+00,4.036050206253399275e-01,3.904932739795720753e+00,3.981923225358018348e-01,3.928164334840519523e+00,4.005612859478537291e-01
2.030000000000000249e+00,3.966562050341054246e-01,3.799985272075526499e+00,3.874906591012758361e-01,3.822300681834757352e+00,3.897661976143492191e-01
2.040000000000000480e+00,3.904027409430625983e-01,3.703499240877544452e+00,3.776518220674282000e-01,3.723471029992146519e+00,3.796883777836617679e-01
2.050000000000000266e+00,3.858065496201710798e-01,3.624278900749875909e+00,3.695735955448472554e-01,3.644168896840192406e+00,3.716018106937835630e-01
2.060000000000000053e+00,3.806507793965416830e-01,3.541212751070036191e+00,3.611032055870288526e-01,3.561212606204644970e+00,3.631426232408259125e-01
2.070000000000000284e+00,3.750968194202267680e-01,3.455910028037517012e+00,3.524047486182863009e-01,3.476336163661425616e+00,3.544876347847048526e-01
2.080000000000000071e+00,3.694069753203527151e-01,3.370840152935337564e+00,3.437300355305162869e-01,3.391024474572845282e+00,3.457882635326890997e-01
2.090000000000000302e+00,3.636979658054739772e-01,3.287063065388568184e+00,3.351871500857651065e-01,3.306816682298105547e+00,3.372014584285261130e-01
2.100000000000000089e+00,3.581483882162830312e-01,3.206152298034001813e+00,3.269365479581714529e-01,3.226201242030120930e+00,3.289809712827643784e-01
2.110000000000000320e+00,3.531206170430885027e-01,3.131251136393032208e+00,3.192987550685537079e-01,3.150594006236588474e+00,3.212711788670533641e-01
2.120000000000000107e+00,3.486600492007141394e-01,3.062599462509256298e+00,3.122982325778177470e-01,3.082088597229076576e+00,3.142855712428889170e-01
2.130000000000000338e+00,3.450362108481756507e-01,3.002376869776586688e+00,3.061572371581107732e-01,3.021526446579395841e+00,3.081099505518598014e-01
2.140000000000000124e+00,3.424233541454412832e-01,2.951858715267382749e+00,3.010058190378348542e-01,2.970460317711546949e+00,3.029026545978032448e-01
2.150000000000000355e+00,3.408949623000126494e-01,2.911410206793202171e+00,2.968812190496450953e-01,2.930052996305541946e+00,2.987822545217319048e-01
2.160000000000000142e+00,3.405400067776059303e-01,2.881511616631737827e+00,2.938324113363623424e-01,2.900213458346334150e+00,2.957394684572544619e-01
2.170000000000000373e+00,3.413917746803476483e-01,2.862156139973976554e+00,2.918587020005788402e-01,2.880962563996898318e+00,2.937764235490099574e-01
2.180000000000000160e+00,3.434276317328567307e-01,2.852870015660549097e+00,2.909117808487657886e-01,2.871854866875588996e+00,2.928476969072608127e-01
2.190000000000000391e+00,3.466396413187055603e-01,2.853315093139118019e+00,2.909571661208586457e-01,2.872014168897983666e+00,2.928639411927603797e-01
2.200000000000000178e+00,3.508507299404478585e-01,2.861783395326989332e+00,2.918206926245954791e-01,2.880183481082992714e+00,2.936969792011536184e-01
2.210000000000000409e+00,3.558951800907952379e-01,2.876718032596057295e+00,2.933436018004167978e-01,2.895609365672696001e+00,2.952699816627182838e-01
2.220000000000000195e+00,3.615876648169889518e-01,2.896459060187790868e+00,2.953566263900303523e-01,2.915889330714522387e+00,2.973379625778958535e-01
2.230000000000000426e+00,3.678279965215290326e-01,2.920080285799242059e+00,2.977653210626709512e-01,2.939045314682844356e+00,2.996992158058913724e-01
2.240000000000000213e+00,3.742430199466253993e-01,2.944539665770236958e+00,3.002594836942520939e-01,2.964525859418634113e+00,3.022975082641508049e-01
2.250000000000000444e+00,3.808053387245137200e-01,2.969598456915581330e+00,3.028147692551056425e-01,2.989154786221310367e+00,3.048089598610443374e-01
2.260000000000000231e+00,3.871559036567521761e-01,2.992462691391971408e+00,3.051462723143960054e-01,3.012508244831090032e+00,3.071903498983944991e-01
2.270000000000000462e+00,3.931284831302216398e-01,3.011913762965023444e+00,3.071297296186795145e-01,3.032423126597821650e+00,3.092211026801019447e-01
2.280000000000000249e+00,3.986046219158100867e-01,3.027139066447243287e+00,3.086822784995124080e-01,3.047579264156319745e+00,3.107665985995543556e-01
2.290000000000000036e+00,4.033863550734482772e-01,3.036756541921243890e+00,3.096629880663880341e-01,3.057015699964898303e+00,3.117288472582276926e-01
2.300000000000000266e+00,4.073199927992897651e-01,3.039763473409115235e+00,3.099696097453376598e-01,3.059893566218803151e+00,3.120223079460165416e-01
2.310000000000000053e+00,4.102896658552007136e-01,3.035472867334548575e+00,3.095320896875639050e-01,3.055520945630945562e+00,3.115764247353526306e-01
2.320000000000000284e+00,4.121979529687306298e-01,3.023358153047122077e+00,3.082967326301155331e-01,3.043386203909339116e+00,3.103390254479704291e-01
2.330000000000000071e+00,4.130241089984754699e-01,3.003469994973098522e+00,3.062687049066805112e-01,3.023138112223051621e+00,3.082742947105333586e-01
2.340000000000000302e+00,4.126848173050404744e-01,2.975407910831020963e+00,3.034071686897177877e-01,2.994559507503315121e+00,3.053600880528330452e-01
2.350000000000000089e+00,4.111349619882893047e-01,2.939059795586292712e+00,2.997006924470938527e-01,2.957612017488271405e+00,3.015924925931150469e-01
2.360000000000000320e+00,4.083595895061238323e-01,2.894532894151596203e+00,2.951602121164308423e-01,2.912641040074348986e+00,2.970067291148709709e-01
2.370000000000000107e+00,4.044295722156417416e-01,2.842535837113129293e+00,2.898579879075045551e-01,2.860365732578454612e+00,2.916761312556739316e-01
2.380000000000000338e+00,3.993452287105996867e-01,2.783263489044678352e+00,2.838138904768375270e-01,2.800544991751368507e+00,2.855761133263008955e-01
2.390000000000000124e+00,3.931130072452740376e-01,2.716948139166631915e+00,2.770516067328427368e-01,2.733694245106257359e+00,2.787592343059309141e-01
2.400000000000000355e+00,3.857988479484793509e-01,2.644223616421885303e+00,2.696357692404526829e-01,2.660824568608600948e+00,2.713285952500192333e-01
2.410000000000000142e+00,3.775578633076681068e-01,2.566310324799680131e+00,2.616908245730886762e-01,2.582354249212563957e+00,2.633268495574497270e-01
2.420000000000000373e+00,3.683975780216209861e-01,2.483394820977289363e+00,2.532357962175961763e-01,2.498886910061035582e+00,2.548155496587556357e-01
2.430000000000000160e+00,3.584245355154966339e-01,2.396320596915885393e+00,2.443566964168075173e-01,2.411337371972051891e+00,2.458879813159490779e-01
2.440000000000000391e+00,3.477565254474361267e-01,2.305979127965303466e+00,2.351444303574924677e-01,2.320615913319878487e+00,2.366369670906862954e-01
2.450000000000000178e+00,3.365198887075118162e-01,2.213289912297715212e+00,2.256927607590477336e-01,2.227602750723052694e+00,2.271522640986527453e-01
2.460000000000000409e+00,3.258085205938714979e-01,2.125455224248586017e+00,2.167361152124921420e-01,2.139949476309866760e+00,2.182141175946798184e-01
2.470000000000000195e+00,3.279932938634455009e-01,2.122417385397207479e+00,2.164263418595756550e-01,2.137129260581543733e+00,2.179265356244531882e-01
2.480000000000000426e+00,3.309075416231556654e-01,2.124041707308504279e+00,2.165919765983801148e-01,2.132721921838711232e+00,2.174771121472379720e-01
2.490000000000000213e+00,3.338087638978821658e-01,2.125488585854251600e+00,2.167395171495109796e-01,2.132734492622850642e+00,2.174783940104776658e-01
2.500000000000000444e+00,3.366433531788539657e-01,2.126423500884156770e+00,2.168348519508860595e-01,2.134560392078166835e+00,2.176645839382630176e-01
2.510000000000000231e+00,3.393938791101193120e-01,2.126749304276454033e+00,2.168680746510229518e-01,2.135718145234034804e+00,2.177826419046295092e-01
2.520000000000000462e+00,3.420444292979629708e-01,2.126381459289035103e+00,2.168305649012695624e-01,2.136055630538832961e+00,2.178170558283239466e-01
2.530000000000000249e+00,3.445816075123572797e-01,2.125253729968227479e+00,2.167155685140417509e-01,2.135676350999324846e+00,2.177783800787552182e-01
2.540000000000000480e+00,3.469952390347723070e-01,2.123321804411086866e+00,2.165185669327534812e-01,2.134482235550028584e+00,2.176566141903737428e-01
2.550000000000000266e+00,3.492783679254669593e-01,2.120562440465972198e+00,2.162371901175194622e-01,2.132317298056639832e+00,2.174358520041645149e-01
2.560000000000000497e+00,3.514444911822058315e-01,2.117076475165104998e+00,2.158817205840022069e-01,2.129152906862933126e+00,2.171131739037217845e-01
2.570000000000000284e+00,3.535023220716072001e-01,2.112933170048443721e+00,2.154592210437248079e-01,2.125204627180832251e+00,2.167105614232008315e-01
2.580000000000000515e+00,3.554249222844074185e-01,2.107988328366702468e+00,2.149549875203767557e-01,2.120533167099389882e+00,2.162342050648682346e-01
2.590000000000000302e+00,3.572136724605415870e-01,2.102268978605478900e+00,2.143717761524556453e-01,2.114937169997866739e+00,2.156635721676481710e-01
2.600000000000000533e+00,3.588719016534641093e-01,2.095812840228601370e+00,2.137134332548425164e-01,2.108467999092356049e+00,2.150039003219607336e-01
2.610000000000000320e+00,3.604036369582103716e-01,2.088660660584173989e+00,2.129841139006871942e-01,2.101357936844542085e+00,2.142788757470228955e-01
2.620000000000000107e+00,3.618315413377983236e-01,2.080959252281615601e+00,2.121987888097990327e-01,2.093642960388296448e+00,2.134921670895052470e-01
2.630000000000000338e+00,3.631565873399335564e-01,2.072727292685913714e+00,2.113593625433674017e-01,2.085210511067826733e+00,2.126322965607854720e-01
2.640000000000000124e+00,3.643644300891613064e-01,2.063896225211433233e+00,2.104588442752044208e-01,2.076146886923099011e+00,2.117080641119137574e-01
2.650000000000000355e+00,3.654590862544764285e-01,2.054502872831768912e+00,2.095009889036285600e-01,2.066517201408204052e+00,2.107261094673720525e-01
2.660000000000000142e+00,3.664439784306705028e-01,2.044579740105172405e+00,2.084891109711443369e-01,2.056360437064036706e+00,2.096904077400577049e-01
2.670000000000000373e+00,3.673213140141602939e-01,2.034151724618429746e+00,2.074257493250426798e-01,2.045822030468819275e+00,2.086157893336480218e-01
2.680000000000000160e+00,3.680911699431226869e-01,2.023231360477152130e+00,2.063121820883943303e-01,2.034860834240878269e+00,2.074980583829216241e-01
2.690000000000000391e+00,3.687548273835747903e-01,2.011837463422492700e+00,2.051503279328305562e-01,2.023461331837428379e+00,2.063356326408537500e-01
2.700000000000000178e+00,3.693400325670249673e-01,2.000131693235663199e+00,2.039566715683401865e-01,2.011649274592042236e+00,2.051311380126794037e-01
2.710000000000000409e+00,3.698111950393312974e-01,1.987930555483883976e+00,2.027125017701135457e-01,1.999433573880142756e+00,2.038854832057984123e-01
2.720000000000000195e+00,3.701626753138532733e-01,1.975215813903880013e+00,2.014159589568181030e-01,1.986800246576258200e+00,2.025972423382356169e-01
2.730000000000000426e+00,3.703896314987834559e-01,1.961974070312634044e+00,2.000656768940090868e-01,1.973697676500506537e+00,2.012611520244432795e-01
2.740000000000000213e+00,3.705030755909384799e-01,1.948275766140694421e+00,1.986688386085660729e-01,1.960293536686493310e+00,1.998943101555060442e-01
2.750000000000000444e+00,3.705360146562571289e-01,1.934304201527804024e+00,1.972441355129227747e-01,1.946455050981258150e+00,1.984831773318369019e-01
2.760000000000000231e+00,3.704405838664302508e-01,1.919818324338495197e+00,1.957669871300082298e-01,1.932036808957704910e+00,1.970129258164312058e-01
2.770000000000000462e+00,3.702178586996753840e-01,1.904835880871218246e+00,1.942392030786474766e-01,1.917144831409820505e+00,1.954943667215431058e-01
2.780000000000000249e+00,3.698910505856576880e-01,1.889487262969708148e+00,1.926740796265501710e-01,1.902004737553600222e+00,1.939505068044235503e-01
2.790000000000000480e+00,3.694862938107438266e-01,1.873914030671091968e+00,1.910860518802131314e-01,1.886305125000983463e+00,1.923495918586860531e-01
2.800000000000000266e+00,3.689648907205241857e-01,1.857927300664662829e+00,1.894558591022074689e-01,1.870140777934361953e+00,1.907012871810824239e-01
2.810000000000000497e+00,3.683338557716339667e-01,1.841572140167389016e+00,1.877880968697148434e-01,1.853822565372390763e+00,1.890372925894562295e-01
2.820000000000000284e+00,3.676041867962894782e-01,1.824912177387220336e+00,1.860892534542601673e-01,1.837039217058524354e+00,1.873258673510856953e-01
2.830000000000000515e+00,3.668212804821983641e-01,1.808178863144919823e+00,1.843829302712873264e-01,1.819875502483558449e+00,1.855756555483838444e-01
2.840000000000000302e+00,3.659474787251241201e-01,1.791190659885458780e+00,1.826506156419836491e-01,1.802608696901014884e+00,1.838149313884981095e-01
2.850000000000000533e+00,3.649890915926295998e-01,1.773984829661912954e+00,1.808961092383141178e-01,1.785116529440412991e+00,1.820312267125280270e-01
2.860000000000000320e+00,3.639494758877672709e-01,1.756583377669359347e+00,1.791216549656977075e-01,1.767393910482280450e+00,1.802240225237242699e-01
2.870000000000000551e+00,3.654838923231947256e-01,1.751717967779271579e+00,1.786255212309271478e-01,1.762618281444944701e+00,1.797370438880703247e-01
2.880000000000000338e+00,3.694189489533354354e-01,1.758303860163794141e+00,1.792970953550696855e-01,1.769191075316518980e+00,1.804072823356109578e-01
2.890000000000000568e+00,3.726715960176941733e-01,1.761531219318364316e+00,1.796261944005714817e-01,1.772061301002101352e+00,1.806999639022603410e-01
2.900000000000000355e+00,3.752351175239888037e-01,1.761437416103705633e+00,1.796166291346898147e-01,1.771630301136180918e+00,1.806560141471533210e-01
2.910000000000000586e+00,3.771201790696154799e-01,1.758140304949200816e+00,1.792804173646659061e-01,1.767954337906942452e+00,1.802811702168367891e-01
2.920000000000000373e+00,3.783636690907793421e-01,1.751876399732910539e+00,1.786416767941050865e-01,1.761455159894990130e+00,1.796184384978550541e-01
2.930000000000000604e+00,3.789025796954875180e-01,1.742416833345382665e+00,1.776770694727947686e-01,1.752125716614132855e+00,1.786671000407002441e-01
2.940000000000000391e+00,3.787894461288790482e-01,1.730067094543840334e+00,1.764177465845972181e-01,1.739852017365956183e+00,1.774155310290421450e-01
2.950000000000000178e+00,3.779289189103746671e-01,1.714453971330894388e+00,1.748256510970509214e-01,1.724790939865847417e+00,1.758797285378643493e-01
2.960000000000000409e+00,3.764092093499143421e-01,1.696041813920051045e+00,1.729481335542770726e-01,1.706588682515380206e+00,1.740236148445575559e-01
2.970000000000000195e+00,3.741456903359056674e-01,1.674509382030346050e+00,1.707524365639995489e-01,1.685569178396455259e+00,1.718802219306751478e-01
2.980000000000000426e+00,3.711505734011905089e-01,1.649974925772364820e+00,1.682506182817134210e-01,1.661503842393745600e+00,1.694262406014026834e-01
2.990000000000000213e+00,3.674752266698290692e-01,1.622726866335657547e+00,1.654720894837337641e-01,1.634508859174831130e+00,1.666735183956632727e-01
3.000000000000000444e+00,3.631155773580627133e-01,1.592803155732106068e+00,1.624207201982436621e-01,1.604714187717914298e+00,1.636353074411663888e-01
