Response,Unit,RHA,RSA_ABSSUM,ABSSUM_Diff_%,RSA_SRSS,SRSS_Diff_%,RSA_CQC,CQC_Diff_%
Floor displacement u1,m,0.02982565598541648,0.03865460276357609,29.601852789010234,0.028655142306828685,-3.9245194779961525,0.028804905857645877,-3.4223895302410408
Floor displacement u2,m,0.047948472928696875,0.05685786397781228,18.58117788727988,0.04735880467297327,-1.2297956946418007,0.04746135228992943,-1.0159252401882095
Floor displacement u3,m,0.07120503241167357,0.08289937097771066,16.423472007464298,0.0718011656725112,0.8372066420685963,0.07165340128949348,0.6296870637283745
Story shear V1,kN,190.88419830666544,247.38945768688689,29.601852789010223,183.3929107637036,-3.9245194779961214,184.3513974889336,-3.422389530241028
Story shear V2,kN,125.56214306622496,156.64654457037895,24.756189043188925,130.72261056924455,4.109891227563562,130.54473780756456,3.9682300888346878
Story shear V3,kN,116.51062484692208,150.11070931757305,28.838644127775098,103.27686203819135,-11.358417162484502,102.53344520691084,-11.99648500587411
Base overturning moment Mb,kNm,1120.9282494270356,1157.556723,3.2676911828823187,1125.900966,0.4436248774626017,1125.573251,0.4143888402615221
